type,product_internal_id,product_sku,product_name,product_name_pt,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_media_main_image_alt_pt,product_media_gallery_image_url_1,product_media_gallery_image_alt_1,product_media_gallery_translated_image_alt_1_pt,product_media_gallery_image_url_2,product_media_gallery_image_alt_2,product_media_gallery_translated_image_alt_2_pt,product_media_gallery_image_url_3,product_media_gallery_image_alt_3,product_media_gallery_translated_image_alt_3_pt,product_media_gallery_image_url_4,product_media_gallery_image_alt_4,product_media_gallery_translated_image_alt_4_pt,product_media_gallery_image_url_5,product_media_gallery_image_alt_5,product_media_gallery_translated_image_alt_5_pt,product_media_gallery_image_url_6,product_media_gallery_image_alt_6,product_media_gallery_translated_image_alt_6_pt,product_media_gallery_image_url_7,product_media_gallery_image_alt_7,product_media_gallery_translated_image_alt_7_pt,product_media_gallery_image_url_8,product_media_gallery_image_alt_8,product_media_gallery_translated_image_alt_8_pt,product_media_gallery_image_url_9,product_media_gallery_image_alt_9,product_media_gallery_translated_image_alt_9_pt,product_media_gallery_image_url_10,product_media_gallery_image_alt_10,product_media_gallery_translated_image_alt_10_pt,product_media_gallery_image_url_11,product_media_gallery_image_alt_11,product_media_gallery_translated_image_alt_11_pt,product_media_gallery_image_url_12,product_media_gallery_image_alt_12,product_media_gallery_translated_image_alt_12_pt,product_description,product_description_pt,product_category_1,product_category_2,product_is_featured,product_is_featured_order_by,product_price_per_unit,product_price_per_unit_pt,product_units_in_product,product_units_in_product_pt,product_brand,product_brand_pt,product_upc,product_upc_pt,product_attribute_MOQ,product_attribute_MOQ_pt,product_attribute_{Supplier 1},product_attribute_{Supplier 1}_pt,product_attribute_{Supplier 2},product_attribute_{Supplier 2}_pt,product_ribbon_text,product_ribbon_text_pt,product_ribbon_color,product_subtitle,product_subtitle_pt,product_weight,product_is_shipping_required,product_length,product_width,product_height,product_shipping_preparation_time_for_shipping_in_days,product_shipping_preparation_time_for_pickup_in_minutes,product_shipping_preparation_time_for_local_delivery_in_minutes,product_shipping_preparation_time_for_preorders_in_days,product_shipping_show_delivery_date_on_the_product_page,product_shipping_type,product_shipping_fixed_rate,product_shipping_method_markup,product_shipping_white_list,product_shipping_black_list,product_taxable,product_enabled_manual_taxes,product_tax_class_code,product_seo_title,product_seo_title_pt,product_seo_description,product_seo_description_pt,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_price_wholesale_quantity_1,product_price_wholesale_value_1,product_custom_price_enabled,product_cost_price,product_subscription_enabled,product_subscription_one_time_purchase_enabled,product_subscription_one_time_purchase_price,product_subscription_price_with_signup_fee,product_subscription_recurring_interval,product_subscription_recurring_interval_count,product_is_review_collection_enabled,product_google_product_category_code,product_option_name,product_option_name_pt,product_option_type,product_option_is_required,product_option_value,product_option_value_pt,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,product_variation_option_Color,product_variation_option_Length,product_variation_option_Number,product_variation_option_Size,product_variation_option_{Size I},product_variation_option_Type,product_variation_option_Watt,product_variation_option_size,product_variation_sku,category_internal_id,category_path,category_name_pt,category_is_available,category_description,category_description_pt,category_seo_title,category_seo_title_pt,category_seo_description,category_seo_description_pt,category_image,category_image_alt,category_image_alt_pt,category_order_by,source_store_id,url,custom_url_slug
product,673589846,GAP0025,110mm 2-Way Vent Valve Satas,,20.00,,false,0,,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604484045.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393768411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Polyvinyl Chloride (PVC) Fittings are the most commonly used plastic piping material. They are manufactured in various dimensions and sizes and are extensively utilised by SV and underground UG in sewer systems, irrigation, water service lines, drain waste vents, and multiple industries.<br><br><br></p>",,Hardware & Electrical / Plumbing & Irrigation,,true,65,,,,,GAP,,,,20,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 2-Way Vent Valve,,"Polyvinyl Chloride (PVC) Fittings are the most commonly used plastic piping material. They are manufactured in various dimensions and sizes and are extensively utilised by SV and underground UG in sewer systems, irrigation, water service lines, drain waste vents, and multiple industries.",,,,false,,5,,,false,15.64,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-2-way-vent-valve-satas,
product,673590591,GAP0058,110mm 45deg Bend SV IE Satas,,32.00,35.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604491763.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393764964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,67,,,,,,,,,10,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Bend SV IE,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,false,,5,,,false,19.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-bend-sv-ie-satas,
product,673196146,GAP0057,110mm 45deg Bend UG IE Satas,,32.00,34.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604539134.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4391110385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,32,,,,,,,,,10,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Bend IE UG,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,true,,900,,,false,21.50,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-bend-ug-ie-satas,
product,673549664,GAP0054,110mm 45deg Long Radius Bend SV Plain Satas,,28.00,34.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604502803.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393466069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,55,,,,,,,,,10,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Bend SV Plain,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,false,,5,,,false,18.75,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-long-radius-bend-sv-plain-satas,
product,673203611,GAP0028,110mm 45deg Long Radius Bend UG Plain Satas,,28.00,34.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604623550.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4391075006,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4511834713.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,35,,,,,,,,,10,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg L/R Bend UG,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,true,,900,,,false,18.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-long-radius-bend-ug-plain-satas,
product,674533080,RODR-1,110mm 45deg Rodding Eye Round,,30.00,32.00,false,0,,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4401540728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The <strong>110mm 45° Rodding Eye Round</strong> is an essential component for efficient maintenance of drainage systems. Designed to provide convenient access to underground pipes, this fitting enables easy clearing of blockages and regular inspection, ensuring optimal system performance. The 45° angle and round design allow for straightforward rodding and smooth operation, even in tight spaces.</p><p>Crafted from high-quality materials, this rodding eye offers durability and long-term reliability for both residential and commercial applications. Its robust construction is resistant to wear and ensures a secure fit with compatible drainage systems, making it an indispensable addition to any professional or DIY drainage project.</p><p>Choose the <strong>110mm 45° Rodding Eye Round</strong> for a practical and dependable solution to drainage access and maintenance. Enhance the longevity and functionality of your drainage network with this high-performance fitting.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,75,,,,,Zap,,,,20,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Rodding Eye Round,,"The 110mm 45° Rodding Eye Round is an essential component for efficient maintenance of drainage systems. Designed to provide convenient access to underground pipes, this fitting enables easy clearing of blockages and regular inspection, ensuring optimal system performance. The 45° angle and round…",,,,true,,900,,,false,19.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-rodding-eye-round,
product,673236606,GAP0037,110mm 45deg Rodding Eye UG Ovel Satas,,26.00,34.00,false,0,,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604533465.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4391278084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,39,,,,,,,,,20,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Rodding Eye Ovel,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,true,,900,,,false,16.80,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-rodding-eye-ug-ovel-satas,
product,673538425,GAP0080,110mm 45deg Y Junction SV Left Satas,,42.00,46.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604499591.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393518273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,52,,,,,,,,,8,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Y Junction SV Left Hand,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,false,,5,,,false,29.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-y-junction-sv-left-satas,
product,673590594,GAP0067,110mm 45deg Y Junction SV Plain Satas,,40.50,40.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604381020.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393768246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,69,,,,,,,,,8,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg SV Plain Y Junction,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,false,,5,,,false,26.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-y-junction-sv-plain-satas,
product,673549681,GAP0079,110mm 45deg Y Junction SV Right Satas,,42.00,46.00,false,0,ALLOW_PREORDER,1,1,1000,true,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4604499627.png,,,https://d2j6dbq0eux0bg.cloudfront.net/images/32555156/4393501744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV) systems for residential, commercial, and industrial drainage. These fittings allow for directional changes, pipe extensions, branch connections, size reductions, and system maintenance. On the other hand, 50mm PVC fittings, including elbows, couplers, tees, reducers, end caps, and saddle clamps, are used in smaller-scale systems like residential waste drainage, irrigation, and vent piping. They serve similar functions but on a smaller scale, providing flexibility for pipe routing, connections, and system termination. Both sizes of PVC fittings are valued for their durability, corrosion resistance, and ease of installation, making them integral to a wide range of piping systems.</p>",,Hardware & Electrical / Plumbing & Irrigation,,true,56,,,,,,,,,8,,,,,,Promotion,,#F35A66,,,1.5,true,0.0,0.0,0.0,,,,,false,SELECTED_METHODS,0.00,0.00,286496-1728640572887,,true,,default,110mm 45deg Y Junction SV Right Hand,,"110mm and 50mm PVC fittings are essential components in plumbing and drainage systems, designed for different pipe sizes and applications. The larger 110mm fittings, such as elbows (90° and 45°), couplers, tees, reducers, end caps, and access caps, are commonly used in soil, waste, and vent (SWV)…",,,,false,,5,,,false,29.00,false,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32555156,https://e-order.co.za/products/110mm-45deg-y-junction-sv-right-satas,
